tpop_2021, tpop_2020, tpop_2015, tpop_2016, tpop_2017, vifsa_name, tpop_2018, lga_name, tpop_2011, tpop_2012, tpop_2013, tpop_2014, tpop_2019, vifsa_code, tpop_2031, tpop_2030, tpop_2028, tpop_2029, tpop_2026, lga_code, tpop_2027, tpop_2024, tpop_2025, tpop_2022, tpop_2023
10448,10399,10226,10213,10256,"VIFSA Ardmona-Murchison District",10302,"Greater Shepparton (C)",10183,10209,10185,10251,10350,"VIFSA.22830.20",10983,10928,10818,10873,10711,22830,10764,10603,10656,10498,10550
54708,53894,49860,50699,51482,"VIFSA Shepparton Town",52281,"Greater Shepparton (C)",47571,48191,48600,49079,53085,"VIFSA.22830.30",63050,62180,60444,61311,58722,22830,59579,57101,57907,55499,56298
6619,6555,6279,6315,6372,"VIFSA Clunes-Creswick District",6431,"Hepburn (S)",6246,6255,6258,6249,6493,"VIFSA.22910.10",7297,7237,7115,7176,6994,22910,7055,6841,6917,6692,6766
9439,9319,8745,8860,8970,"VIFSA Daylesford-Glenlyon District",9084,"Hepburn (S)",8383,8457,8544,8639,9201,"VIFSA.22910.20",10621,10515,10301,10408,10088,22910,10194,9824,9955,9566,9694
5352,5378,5551,5497,5464,"VIFSA Hindmarsh Shire",5434,"Hindmarsh (S)",5858,5784,5673,5614,5406,"VIFSA.22980.10",4932,4969,5045,5007,5125,22980,5085,5212,5168,5304,5257
17163,17028,16412,16525,16641,"VIFSA Horsham Town",16764,"Horsham (RC)",16099,16209,16270,16327,16894,"VIFSA.23190.20",18784,18614,18284,18448,17969,23190,18125,17633,17798,17315,17472
73301,72912,70629,70962,71378,"VIFSA Broadmeadows District",71912,"Hume (C)",69061,69158,69594,70416,72417,"VIFSA.23270.10",78747,78112,76895,77488,75745,23270,76317,74781,75246,73787,74325
112339,108119,86084,90785,95151,"VIFSA Bulla-Craigieburn District",99502,"Hume (C)",69123,72548,77083,81597,103799,"VIFSA.23270.20",152688,148923,140974,144984,132720,23270,136887,124719,128735,116456,120617
42603,41452,37022,37474,38199,"VIFSA Sunbury District",39259,"Hume (C)",36107,36295,36414,36806,40321,"VIFSA.23270.30",60866,58696,54442,56541,50460,23270,52415,46959,48640,43947,45408
12180,12103,11757,11827,11889,"VIFSA Beechworth-Chiltern District",11957,"Indigo (S)",11578,11636,11641,11695,12028,"VIFSA.23350.10",12975,12893,12733,12812,12579,23350,12655,12411,12494,12254,12331
